WORD      | ETYMOLOGY    | MEANINGS
selfi     | selfie       | selfie, picture, snapshot, vanity, face
meme      | meme         | meme, trope, stereotype, idea
yoga      | yoga         | yoga, exercise, self control
virus     | virus        | virus
hactag    | hashtag      | hashtag
suci      | sushi        | sushi
sapon     | soap         | soap, wash, clean, shower
miki      | mickey mouse | mouse, rat, rodent, small mammal
radar     | radar        | radar, detect, find
sonar     | sonar        | sonar
bus       | bus          | bus
amen      | amen         | amen
bakkalur  | baccalaureate| bachelor's degree
bazooka   | bazooka      | bazooka
bingo     | bingo        | bingo
biskut    | biscuit      | biscuit, cookie, sweet
karikatur | caricature   | caricature, exaggeration
krusant   | croissant    | croissant
kari      | curry        | curry, spice, yellow
disco     | disco        | disco
domino    | domino       | domino
filet     | filet        | filet, meat, cut
haker     | hacker       | hacker
hamburge  | hamburger    | hamburger, sandwitch
laser     | laser        | laser
masaaj    | massage      | massage
mini      | mini         | mini, small, little
nikotin   | nicotine     | nicotine
neon      | neon         | neo
nailon    | nylon        | nylon, thread, wire
olimpic   | olimpic      | olimpic
faraon    | pharaoh      | pharaoh
sardin    | sardine      | sardine
salmon    | salmon       | salmon
skuter    | scooter      | scooter
campuu    | shampoo      | shampoo
vitamin   | vitamin      | vitamin, fruit
